# This Document is available under the terms of the GNU Free Documentation License.
# Read README for detail of this file.
#
不	不
串	串
丹	丹
亂	亂
了	了
亮	亮
什	什
令	令
來	來
例	例
便	便
倫	倫
僚	僚
兩	兩
六	六
冷	冷
凉	凉
凌	凌
凜	凜
切	切
列	列
利	利
刺	刺
劉	劉
力	力
劣	劣
勒	勒
勞	勞
勵	勵
北	北
匿	匿
卵	卵
參	參
句	句
吏	吏
吝	吝
呂	呂
咽	咽
喇	喇
囹	囹
塞	塞
壘	壘
壟	壟
奈	奈
契	契
女	女
宅	宅
寧	寧
寧	寧
寮	寮
尿	尿
屢	屢
履	履
崙	崙
嵐	嵐
嶺	嶺
年	年
度	度
廉	廉
廊	廊
廓	廓
廬	廬
弄	弄
律	律
復	復
念	念
怒	怒
怜	怜
惡	惡
慄	慄
憐	憐
懶	懶
戀	戀
戮	戮
拉	拉
拏	拏
拓	拓
拾	拾
捻	捻
掠	掠
撚	撚
擄	擄
數	數
料	料
旅	旅
易	易
暈	暈
暴	暴
曆	曆
更	更
朗	朗
李	李
杻	杻
林	林
柳	柳
栗	栗
梁	梁
梨	梨
樂	樂
樂	樂
樂	樂
樓	樓
櫓	櫓
欄	欄
歷	歷
殮	殮
殺	殺
沈	沈
泌	泌
泥	泥
洛	洛
洞	洞
流	流
浪	浪
淋	淋
淚	淚
淪	淪
溜	溜
溺	溺
滑	滑
漏	漏
漣	漣
濫	濫
濾	濾
炙	炙
烈	烈
烙	烙
煉	煉
燎	燎
燐	燐
爐	爐
爛	爛
牢	牢
狀	狀
狼	狼
獵	獵
率	率
率	率
玲	玲
珞	珞
理	理
琉	琉
瑩	瑩
璉	璉
璘	璘
留	留
略	略
異	異
痢	痢
療	療
癩	癩
盧	盧
省	省
硫	硫
碌	碌
磊	磊
磻	磻
礪	礪
祿	祿
禮	禮
秊	秊
稜	稜
立	立
笠	笠
簾	簾
籠	籠
粒	粒
糖	糖
糧	糧
紐	紐
索	索
累	累
綠	綠
綾	綾
練	練
縷	縷
罹	罹
羅	羅
羚	羚
老	老
聆	聆
聯	聯
聾	聾
肋	肋
臘	臘
臨	臨
良	良
若	若
茶	茶
菉	菉
菱	菱
落	落
葉	葉
蓮	蓮
蓼	蓼
藍	藍
藺	藺
蘆	蘆
蘭	蘭
蘿	蘿
虜	虜
螺	螺
蠟	蠟
行	行
裂	裂
裏	裏
裡	裡
裸	裸
襤	襤
見	見
說	說
說	說
諒	諒
論	論
諾	諾
識	識
讀	讀
豈	豈
賂	賂
賈	賈
路	路
車	車
輦	輦
輪	輪
輻	輻
轢	轢
辰	辰
連	連
遼	遼
邏	邏
郎	郎
酪	酪
醴	醴
里	里
量	量
金	金
鈴	鈴
錄	錄
鍊	鍊
閭	閭
阮	阮
陋	陋
降	降
陵	陵
陸	陸
隆	隆
隣	隣
隸	隸
離	離
零	零
雷	雷
露	露
靈	靈
領	領
類	類
駱	駱
驪	驪
魯	魯
鱗	鱗
鷺	鷺
鸞	鸞
鹿	鹿
麗	麗
麟	麟
黎	黎
龍	龍
龜	龜
龜	龜
