# This Document is available under the terms of the GNU Free Documentation License.
# Read README for detail of this file.
#
不	불
串	관
丹	란
亂	난
了	요
亮	양
什	집
令	영
來	내
例	예
便	변
倫	윤
僚	요
兩	양
六	육
冷	냉
凉	양
凌	능
凜	늠
切	체
列	열
利	이
刺	척
劉	유
力	역
劣	열
勒	늑
勞	노
勵	여
北	배
匿	익
卵	난
參	삼
句	귀
吏	이
吝	인
呂	여
咽	열
喇	나
囹	영
塞	색
壘	누
壟	농
奈	나
契	글
女	여
宅	택
寧	영
寧	령
寮	요
尿	요
屢	누
履	이
崙	윤
嵐	남
嶺	영
年	연
度	탁
廉	염
廊	낭
廓	확
廬	여
弄	농
律	율
復	부
念	염
怒	로
怜	영
惡	오
慄	율
憐	연
懶	나
戀	연
戮	육
拉	납
拏	라
拓	탁
拾	십
捻	염
掠	약
撚	연
擄	노
數	삭
料	요
旅	여
易	이
暈	운
暴	포
曆	역
更	갱
朗	낭
李	이
杻	유
林	임
柳	유
栗	율
梁	양
梨	이
樂	낙
樂	요
樂	락
樓	누
櫓	노
欄	난
歷	역
殮	염
殺	쇄
沈	심
泌	비
泥	이
洛	낙
洞	통
流	유
浪	낭
淋	임
淚	누
淪	윤
溜	유
溺	익
滑	골
漏	누
漣	연
濫	남
濾	여
炙	적
烈	열
烙	낙
煉	연
燎	요
燐	인
爐	노
爛	난
牢	뇌
狀	장
狼	낭
獵	엽
率	률
率	율
玲	영
珞	낙
理	이
琉	유
瑩	영
璉	연
璘	인
留	유
略	약
異	리
痢	이
療	요
癩	나
盧	노
省	생
硫	유
碌	녹
磊	뇌
磻	번
礪	여
祿	녹
禮	예
秊	연
稜	능
立	입
笠	입
簾	염
籠	농
粒	입
糖	탕
糧	양
紐	유
索	삭
累	누
綠	녹
綾	능
練	연
縷	누
罹	이
羅	나
羚	영
老	노
聆	영
聯	연
聾	농
肋	늑
臘	납
臨	임
良	양
若	야
茶	차
菉	녹
菱	능
落	낙
葉	섭
蓮	연
蓼	요
藍	남
藺	인
蘆	노
蘭	난
蘿	나
虜	노
螺	나
蠟	납
行	항
裂	열
裏	이
裡	이
裸	나
襤	남
見	현
說	세
說	열
諒	양
論	논
諾	락
識	지
讀	두
豈	개
賂	뇌
賈	고
路	노
車	거
輦	연
輪	윤
輻	폭
轢	역
辰	신
連	연
遼	요
邏	나
郎	낭
酪	낙
醴	예
里	이
量	양
金	금
鈴	영
錄	녹
鍊	연
閭	여
阮	원
陋	누
降	항
陵	능
陸	육
隆	융
隣	인
隸	예
離	이
零	영
雷	뇌
露	노
靈	영
領	영
類	유
駱	낙
驪	여
魯	노
鱗	인
鷺	노
鸞	난
鹿	녹
麗	여
麟	인
黎	여
龍	용
龜	귀
龜	균
