# This Document is available under the terms of the GNU Free Documentation License.
# Read README for detail of this file.
#
一事不再理	일사부재리
一刀兩斷式	일도양단식
一切唯心造	일체유심조
一刻如三秋	일각여삼추
一問一答式	일문일답식
一夫一妻制	일부일처제
一日生活圈	일일생활권
一百五十萬	일백오십만
一言以蔽之	일언이폐지
一酸化炭素	일산화탄소
七百五十三	칠백오십삼
三十八度線	삼십팔도선
三千里江山	삼천리강산
三枝九葉草	삼지구엽초
三軍可奪帥	삼군가탈수
上濁下不淨	상탁하부정
不動産業界	부동산업계
不動産業者	부동산업자
不可思議論	불가사의론
不可抗力的	불가항력적
不名譽除隊	불명예제대
不條理劇風	부조리극풍
不知不識間	부지불식간
不知何歲月	부지하세월
世代交替論	세대교체론
中小企業家	중소기업가
中小企業界	중소기업계
中小企業者	중소기업자
中小企業館	중소기업관
中小企業體	중소기업체
中心主義的	중심주의적
中繼放送班	중계방송반
中繼放送社	중계방송사
中選擧區制	중선거구제
中間報告日	중간보고일
丹田呼吸法	단전호흡법
主體思想化	주체사상화
主體思想派	주체사상파
事務總長職	사무총장직
事大主義的	사대주의적
事大主義者	사대주의자
二十四節氣	이십사절기
二律背反性	이율배반성
二律背反的	이율배반적
二酸化炭素	이산화탄소
二酸化窒素	이산화질소
二黃化炭素	이황화탄소
五十步百步	오십보백보
五家作統法	오가작통법
交通事故率	교통사고율
人事移動說	인사이동설
人工呼吸法	인공호흡법
人文主義的	인문주의적
人文主義者	인문주의자
人本主義的	인본주의적
人種主義者	인종주의자
人身賣買團	인신매매단
人身賣買犯	인신매매범
人道主義的	인도주의적
人間文化財	인간문화재
仁義禮智信	인의예지신
以心傳心的	이심전심적
仰不愧於天	앙불괴어천
位階秩序的	위계질서적
便宜主義的	편의주의적
便宜置籍船	편의치적선
保守主義者	보수주의자
修學旅行地	수학여행지
修正主義者	수정주의자
俸給生活者	봉급생활자
個人主義的	개인주의적
偏向主義者	편향주의자
僧敲月下門	승고월하문
入學試驗場	입학시험장
全體主義化	전체주의화
全體主義的	전체주의적
兩者擇一的	양자택일적
兩者擇一論	양자택일론
兩雄不俱立	양웅불구립
公衆沐浴湯	공중목욕탕
公衆道德心	공중도덕심
共産主義者	공산주의자
冒險主義者	모험주의자
冶家無食刀	야가무식도
分派主義者	분파주의자
刑事係長室	형사계장실
利己主義的	이기주의적
利己主義者	이기주의자
化學調味料	화학조미료
十全大補丸	십전대보환
十全大補湯	십전대보탕
千九百九十	천구백구십
千九百八十	천구백팔십
千九百六十	천구백육십
千百二十六	천백이십육
千篇一律的	천편일률적
半植民地的	반식민지적
南大門入納	남대문입납
南大門市場	남대문시장
原始主義者	원시주의자
反精神病者	반정신병자
反耐性主義	반내성주의
反辨證法的	반변증법적
古代史學界	고대사학계
古典主義的	고전주의적
古典主義者	고전주의자
古生物學的	고생물학적
古生物學者	고생물학자
