# This Document is available under the terms of the GNU Free Documentation License.
# Read README for detail of this file.
#
가부장제적	家父長制的
감가상각비	減價償却費
강강수월래	强羌水越來
개교기념일	開校記念日
개발도상국	開發途上國
개인주의적	個人主義的
건축사학자	建築史學者
결혼기념일	結婚記念日
경제사학계	經濟史學界
경제사학자	經濟史學者
경험주의적	經驗主義的
계몽사상가	啓蒙思想家
계몽주의자	啓蒙主義者
계몽주의적	啓蒙主義的
고대사학계	古代史學界
고등중학교	高等中學校
고생물학자	古生物學者
고생물학적	古生物學的
고전주의자	古典主義者
고전주의적	古典主義的
고탄수화물	高炭水化物
공산주의자	共産主義者
공중도덕심	公衆道德心
공중목욕탕	公衆沐浴湯
과대망상적	誇大妄想的
과전불납리	瓜田不納履
과학주의적	科學主義的
관료주의적	官僚主義的
관세음보살	觀世音菩薩
교조주의자	敎條主義者
교조주의적	敎條主義的
교통사고율	交通事故率
구사회주의	舊社會主義
구조주의자	構造主義者
구조주의적	構造主義的
국가주석직	國家主席職
국리민복적	國利民福的
국무총리상	國務總理賞
국무총리실	國務總理室
국민학교생	國民學校生
국민학교장	國民學校長
국수주의자	國粹主義者
국수주의적	國粹主義的
국제주의적	國際主義的
국제회의실	國際會議室
국제회의장	國際會議場
국회의원직	國會議員職
군국주의화	軍國主義化
군사부일체	君師父一體
권위주의적	權威主義的
권위주의화	權威主義化
귀족주의적	貴族主義的
근대주의적	近代主義的
근본주의적	根本主義的
근친상간적	近親相姦的
금계포란형	金鷄抱卵型
금목수화토	金木水火土
급진주의자	急進主義者
기간산업체	基幹産業體
기념사업회	記念事業會
기능주의적	機能主義的
기정사실화	旣定事實化
기하급수적	幾何級數的
기회주의자	機會主義者
기회주의적	機會主義的
낙양지가귀	洛陽紙價貴
남녀평등관	男女平等觀
남대문시장	南大門市場
남대문입납	南大門入納
낭만주의자	浪漫主義者
낭만주의적	浪漫主義的
노예제론자	奴隸制論者
노운전기사	老運轉技士
뇌신경외과	腦神經外科
능서불택필	能書不擇筆
능지능문능	綾地綾文綾
능지부문능	綾地浮文綾
다다익선조	多多益善組
다원주의적	多元主義的
단도직입적	單刀直入的
단전호흡법	丹田呼吸法
담황적갈색	淡黃赤葛色
대가부장적	大家父長的
대선거구제	大選擧區制
대중목욕탕	大衆沐浴湯
대중문화론	大衆文化論
대중문화적	大衆文化的
대중문화화	大衆文化化
대중음악가	大衆音樂家
대중음악인	大衆音樂人
대중화주의	大衆化主義
대천지원수	戴天之怨讐
대화어아금	大花魚牙錦
도덕군자연	道德君子然
도덕주의자	道德主義者
도덕주의적	道德主義的
도서관장실	圖書館長室
도서관학과	圖書館學科
독불장군식	獨不將軍式
독서삼품과	讀書三品科
독신주의자	獨身主義者
동대문시장	東大門市場
동성연애자	同性戀愛者
동양사학과	東洋史學科
만병통치약	萬病通治藥
만삼천팔백	萬三千八百
맹호출림형	猛虎出林形
모험주의자	冒險主義者
목적의식적	目的意識的
무심지도극	無心之道劇
무지외반증	拇趾外反症
무척추동물	無脊椎動物
무한궤도적	無限軌道的
문화생활비	文化生活費
물질주의적	物質主義的
미술사학과	美術史學科
미아보호소	迷兒保護所
민본주의적	民本主義的
민족주의자	民族主義者
민족주의적	民族主義的
민주주의적	民主主義的
반내성주의	反耐性主義
반변증법적	反辨證法的
반식민지적	半植民地的
반야바라밀	般若波羅蜜
반정신병자	反精神病者
백년지대계	百年之大計
백팔십도제	百八十度祭
보수주의자	保守主義者
복권주의자	復權主義者
봉건제론자	封建制論者
봉급생활자	俸給生活者
부국강병책	富國强兵策
부동산업계	不動産業界
부동산업자	不動産業者
부속실장실	附屬室長室
부조리극풍	不條理劇風
부지불식간	不知不識間
부지하세월	不知何歲月
분파주의자	分派主義者
불가사의론	不可思議論
불가항력적	不可抗力的
불명예제대	不名譽除隊
비결정론적	非決定論的
비상경계령	非常警戒令
비상계엄령	非常戒嚴令
비상근무령	非常勤務令
비식민지화	非植民地化
비인문학적	非人文學的
비포장도로	非鋪裝道路
빈천불능이	貧賤不能移
빙탄불상용	氷炭不相容
사관후보생	士官候補生
사달이이의	辭達而已矣
사대주의자	事大主義者
사대주의적	事大主義的
사무두불행	蛇無頭不行
사무총장직	事務總長職
사민주의자	社民主義者
사실주의자	寫實主義者
사실주의적	寫實主義的
사십이불혹	四十而不惑
사자심상빈	奢者心常貧
사자차시학	寫字此是學
사정거리권	射程距離圈
사회사업과	社會事業課
사회안전원	社會安全員
사회의식적	社會意識的
사회주의권	社會主義圈
사회주의자	社會主義者
사회주의적	社會主義的
사후약방문	死後藥方文
산술급수적	算術級數的
삼군가탈수	三軍可奪帥
삼십팔도선	三十八度線
삼지구엽초	三枝九葉草
삼천리강산	三千里江山
상대주의적	相對主義的
상부상조적	相扶相助的
상업주의화	商業主義化
상탁하부정	上濁下不淨
상품화권자	商品化權者
색수상행식	色受想行識
생물화학적	生物化學的
생활필수품	生活必需品
선행무철적	善行無鐵迹
성형외과의	成形外科醫
성형외과학	成形外科學
세대교체론	世代交替論
소비주의적	消費主義的
소선거구제	小選擧區制
소식주의자	小食主義者
소영웅주의	小英雄主義
소지황금출	掃地黃金出
소화어아금	小花魚牙錦
속등자이전	速登者易顚
솔성지위도	率性之謂道
수광즉어유	水廣則魚遊
수정주의자	修正主義者
수지청무어	水至淸無魚
수학여행지	修學旅行地
수한충박상	水旱蟲雹霜
수행실장실	隨行室長室
순수주의적	純粹主義的
순회공연단	巡廻公演團
슬처두이흑	蝨處頭而黑
승고월하문	僧敲月下門
시간주의적	時間主義的
시기상조론	時機尙早論
시대착오적	時代錯誤的
식민지주의	植民地主義
신계몽주의	新啓蒙主義
신고전주의	新古典主義
신궁심불궁	身窮心不窮
신민족주의	新民族主義
신보수주의	新保守主義
신비주의성	神秘主義性
신비주의자	神秘主義者
신비주의적	神秘主義的
신상명세서	身上明細書
신성불가침	神聖不可侵
신진화론자	新進化論者
신진화주의	新進化主義
신체장애자	身體障碍者
신혼여행지	新婚旅行地
실존주의자	實存主義者
실존주의적	實存主義的
실증주의자	實證主義者
실증주의적	實證主義的
십전대보탕	十全大補湯
십전대보환	十全大補丸
아미타여래	阿彌陀如來
안전표지판	安全標識板
앙불괴어천	仰不愧於天
애국주의자	愛國主義者
야가무식도	冶家無食刀
양심선언자	良心宣言者
양약고어구	良藥苦於口
양웅불구립	兩雄不俱立
양자택일론	兩者擇一論
양자택일적	兩者擇一的
엄숙주의적	嚴肅主義的
여구식약과	如狗食藥果
여권주의자	女權主義者
역사주의자	歷史主義者
역사주의적	歷史主義的
역자이교지	易子而敎之
연건축면적	延建築面積
연수유전답	烟受有田畓
연화부수형	蓮花浮水形
오가작통법	五家作統法
오십보백보	五十步百步
완전주의자	完全主義者
원시주의자	原始主義者
